max_depth,Train,Validation,Test
1,0.204,0.204,0.203
2,0.204,0.204,0.203
3,0.222,0.222,0.222
4,0.233,0.233,0.233
5,0.241,0.241,0.24
6,0.255,0.255,0.255
7,0.266,0.266,0.266
8,0.275,0.274,0.274
9,0.283,0.282,0.282
10,0.294,0.291,0.291
11,0.303,0.299,0.298
12,0.314,0.306,0.304
13,0.324,0.312,0.31
14,0.336,0.318,0.316
15,0.349,0.323,0.32
16,0.364,0.328,0.325
17,0.379,0.331,0.328
18,0.395,0.334,0.331
19,0.411,0.337,0.334
20,0.429,0.34,0.336
21,0.446,0.341,0.338
22,0.463,0.343,0.34
23,0.48,0.345,0.342
24,0.497,0.346,0.343
25,0.513,0.347,0.344
26,0.529,0.348,0.345
27,0.544,0.349,0.346
28,0.559,0.35,0.347
29,0.573,0.35,0.348
30,0.586,0.351,0.348
